Series Name,"Agriculture, value added (% of GDP)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GDP growth (annual %),"GDP, PPP (current international $)","GDP per capita, PPP (current international $)","Industry, value added (% of GDP)","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","Services, etc., value added (% of GDP)","Services, etc., value added (annual % growth)","Industry, value added (annual % growth)","Agriculture, value added (annual % growth)",         ,,,,year,epi,人均增长
2004 [YR2004],12.91664817,1.95535E+12,1508.668098,9.45917505,10.11122346,5.77428E+12,4455.205022,45.90140165,..,41.18195018,10.1235147,11.13964464,6.123822342,6.129292156,-3.124252302,-0.003897293,-0.002323753,2008,64.2,9.093872102
2005 [YR2005],11.6414956,2.28597E+12,1753.417829,10.74255231,11.39577594,6.63927E+12,5092.559837,47.02377115,..,41.33473325,12.35891247,12.13389121,5.072923272,6.069581808,-3.127133154,0.059710348,0.002880852,2009,64.15,8.857029819
2006 [YR2006],10.62576053,2.75213E+12,2099.229435,12.09183627,12.71947902,7.71367E+12,5883.719377,47.55856667,..,41.8156728,14.1331817,13.44954333,4.737477369,6.038891224,-3.134562714,0.030690584,0.00742956,2010,65.28,10.10310072
2007 [YR2007],10.28299697,3.55218E+12,2695.365917,13.63634486,14.23138804,9.04594E+12,6863.981755,46.8610339,8.295577724,42.85596913,16.06974813,15.05080752,3.514837223,6.02088764,-3.145038229,0.018003584,0.010475515,2011,65.25,9.012854035
2008 [YR2008],10.25089863,4.59821E+12,3471.248054,9.093872102,9.654289373,1.01138E+13,7635.072611,46.93247802,..,42.81662335,10.47787104,9.839143235,5.176732535,6.020355008,-3.155309723,0.000532632,0.010271494,2012,65.44,7.332030984
2009 [YR2009],9.786188981,5.10995E+12,3838.433972,8.857029819,9.399813171,1.11485E+13,8374.432271,45.88377306,..,44.33003796,9.587740125,10.29017597,3.995766076,5.987111789,-3.161547038,0.033243219,0.006237314,2013,65.21,7.226936454
2010 [YR2010],9.530192941,6.10062E+12,4560.512586,10.10310072,10.63614046,1.2485E+13,9333.124237,46.39605425,..,44.07375281,9.66674545,12.68315018,4.249363868,5.811974079,-3.166992501,0.17513771,0.005445464,2014,66.17,6.755778416
2011 [YR2011],9.434516062,7.57255E+12,5633.795717,9.012854035,9.536443008,1.39579E+13,10384.3666,46.4006848,..,44.16479914,9.489942529,10.6898384,4.173785697,5.581443197,-3.172029076,0.230530882,0.005036574,2015,66.26,6.358383356
2012 [YR2012],9.419936158,8.56055E+12,6337.883323,7.332030984,7.85626211,1.53318E+13,11351.06206,45.273502,12.21177525,45.30656184,8.011285349,8.364160054,4.475164011,5.392113241,-3.180977252,0.189329956,0.008948177,2016,65.1,6.113211231
2013 [YR2013],9.295189652,9.60722E+12,7077.770765,7.226936454,7.757635146,1.6788E+13,12367.96501,44.0081519,..,46.69665844,8.300935488,7.986970684,3.812514017,5.559623132,-3.187699213,-0.167509891,0.00672196,2017,,
2014 [YR2014],9.059922416,1.04824E+13,7683.502613,6.755778416,7.297665959,1.83357E+13,13439.90671,43.10295577,13.71057406,47.83712181,7.807723589,7.393822394,4.061352344,5.441349965,-3.196391829,0.118273167,0.008692617,,,
2015 [YR2015],8.832724007,1.10647E+13,8069.213024,6.358383356,6.900204817,1.98527E+13,14478.14755,40.93163605,..,50.23563994,8.194375797,6.197195758,3.902844094,5.367446036,-3.196157778,0.073903929,-0.000234051,,,
2016 [YR2016],8.556426912,1.11991E+13,8123.180873,6.113211231,6.689349894,2.1451E+13,15559.23135,39.80986046,..,51.63371262,7.755688435,6.112733274,3.296703297,5.440319665,-3.201964886,-0.072873629,0.005807108,,,
,,,,,,,,,,,,,,5.264028349,-3.207771995,,,,,
