,EPI1,EPI2,FSI1,FSI2,country1,country2,fragility1,fragility2,pro_score
17,55.0,68.47,76.9,77.3,India2014,Ecuador2014,0.8677368634679312,0.40132429934035657,-0.0022017408316751808
18,75.93,76.06,80.2,78.4,Colombia2016,Dominican Republic2008,0.47189182281013564,0.4264941843359792,-0.0011180145521842988
19,51.75,76.06,73.5,78.4,Cape Verde2015,Dominican Republic2008,0.6359677811760047,0.4264941843359792,0.0015123069447571802
20,81.57,76.01,81.2,77.7,Russia2007,Dominican Republic2009,0.5160799260132604,0.4100109560849079,0.004635619144052083
21,53.98,76.01,78.0,77.7,India2012,Dominican Republic2009,0.8791859264082404,0.4100109560849079,0.005314623327782708
22,51.14,76.01,74.1,77.7,Cape Verde2014,Dominican Republic2009,0.6545714192211702,0.4100109560849079,0.011436585777903907
23,64.2,71.35,80.3,77.5,China2008,Peru2008,0.48201204834753936,0.3880881475937521,-0.009881800282342978
24,61.32,71.35,80.9,77.5,Bosnia and Herzegovina2011,Peru2008,0.47721456595687445,0.3880881475937521,-0.003561107927137541
25,45.51,64.99,73.9,77.6,Sao Tome and Principe2012,Bhutan2016,0.6962724594508395,0.40869913299832855,0.003731709800619709
26,79.74,79.45,81.0,79.4,Azerbaijan2008,Cuba2010,0.4898271388095531,0.43820768941723615,-0.006774054804508378
27,71.15,70.78,80.6,78.9,Algeria2009,Bolivia2014,0.4767226787263408,0.40328520596608264,0.0006532505350419493
28,48.28,64.26,72.9,78.7,Sao Tome and Principe2016,Bhutan2015,0.6540861942579531,0.4291076164353814,0.0019116609788429884
29,51.37,67.7,74.7,79.9,Cape Verde2012,Ecuador2007,0.6756900847364532,0.45623575566408564,-0.0020577059352204774
30,73.66,67.7,80.5,79.9,Fiji2010,Ecuador2007,0.4584393649822542,0.45623575566408564,0.003330802647632969
31,45.5,68.68,74.5,77.2,Sao Tome and Principe2011,Honduras2009,0.7229058509596957,0.3872236500589446,0.0004019251283456926
32,64.24,64.45,81.2,78.2,China2007,Indonesia2013,0.5078771817296197,0.42370609226973804,-0.0004585259058673685
33,48.77,64.08,73.7,76.8,Sao Tome and Principe2015,Senegal2011,0.6669289672933164,0.4013619500289151,-0.0034221621634784594
34,53.91,68.05,77.8,78.3,India2009,Honduras2013,0.8168082262132605,0.39053300142255293,0.0009920763243448372
35,81.87,68.05,81.9,78.3,Azerbaijan2011,Honduras2013,0.4988686580265138,0.39053300142255293,0.004491117371602016
36,45.63,55.86,74.6,78.3,Sao Tome and Principe2013,Maldives2010,0.6858536872942234,0.46254551984762843,-0.00168550840393622
37,39.79,68.39,75.5,78.6,Benin2009,Ecuador2013,0.7579893439915582,0.4183041837210101,-0.0015416339869178675
38,71.46,68.39,81.3,78.6,Algeria2010,Ecuador2013,0.49257007248482126,0.4183041837210101,0.0009011253329535007
39,79.57,68.39,81.2,78.6,Azerbaijan2007,Ecuador2013,0.4847909767545045,0.4183041837210101,0.0036638552119402368
40,71.1,64.19,82.5,79.0,Turkmenistan2010,Nicaragua2016,0.5077360031636127,0.39700000798084556,-0.00822516353316849
41,40.42,64.19,77.8,79.0,Comoros2007,Nicaragua2016,0.8170160265441715,0.39700000798084556,-0.005063631247285372
42,68.36,64.19,80.6,79.0,Guatemala2008,Nicaragua2016,0.4740899724249916,0.39700000798084556,-0.00488658277924825
43,73.52,68.62,81.1,78.1,Fiji2011,El Salvador2010,0.45854297153880896,0.4244424098515932,-0.006024427491382434
44,67.58,68.62,80.3,78.1,Ecuador2008,El Salvador2010,0.4674114132934491,0.4244424098515932,-0.0012473077307303404
45,73.13,68.62,81.1,78.1,Kyrgyz Republic2016,El Salvador2010,0.4955372305551391,0.4244424098515932,-0.0004447812004279017
46,38.86,55.21,76.9,78.8,Mozambique2007,Maldives2009,0.7152343450931323,0.47258276200996874,-0.0005505549030649926
47,68.03,55.21,80.6,78.8,Guatemala2009,Maldives2009,0.4694300694034382,0.47258276200996874,0.0019889436301986363
48,61.35,69.64,84.5,79.8,Libya2013,Honduras2016,0.5068237927160503,0.4134100160914057,-0.0013594187361891663
49,78.87,68.23,80.6,78.5,Cuba2009,Honduras2012,0.4609642093495904,0.39965297148310097,0.004971463382922536
50,68.49,67.9,80.1,78.3,Guatemala2011,Honduras2011,0.45924046620938136,0.3971267531203904,-0.0006790591026014647
51,38.95,67.9,76.8,78.3,Mozambique2008,Honduras2011,0.7220924991009943,0.3971267531203904,0.002858526192128674
52,76.1,67.9,80.6,78.3,Dominican Republic2007,Honduras2011,0.4838464792582636,0.3971267531203904,0.006368164314105584
53,53.84,67.9,79.2,78.3,India2010,Honduras2011,0.8499949795751925,0.3971267531203904,0.009465046764015161
54,52.17,64.58,75.8,78.4,Cape Verde2011,Nicaragua2014,0.6986551777501602,0.39885354302598797,-0.008818698297587857
55,53.75,64.58,79.3,78.4,India2011,Nicaragua2014,0.8656936792883106,0.39885354302598797,-0.001529552494511477
56,64.16,64.58,82.7,78.4,Georgia2014,Nicaragua2014,0.5208188063077578,0.39885354302598797,0.0042798739029589195
57,70.4,64.58,80.8,78.4,Bolivia2013,Nicaragua2014,0.44082733342773867,0.39885354302598797,0.014029196853564407
58,68.37,64.58,80.1,78.4,Ecuador2012,Nicaragua2014,0.451165612476271,0.39885354302598797,0.016497969119505962
59,70.04,63.54,80.3,79.6,Guatemala2014,Nicaragua2012,0.4644000062421201,0.41936593087490437,-0.01827335796605556
60,63.98,63.54,80.9,79.6,Bhutan2014,Nicaragua2012,0.485256169538861,0.41936593087490437,-0.017076755212286465
61,67.88,63.54,81.4,79.6,Guatemala2007,Nicaragua2012,0.4947207304869121,0.41936593087490437,-0.01236672490851809
62,77.81,63.54,82.5,79.6,Colombia2015,Nicaragua2012,0.519037293582579,0.41936593087490437,-0.012048182175746325
63,61.75,63.54,84.9,79.6,Libya2012,Nicaragua2012,0.5119945045403217,0.41936593087490437,-0.009958483149089759
64,73.19,63.54,82.2,79.6,Kyrgyz Republic2015,Nicaragua2012,0.5113168472191857,0.41936593087490437,-0.008822479907104719
65,65.28,63.54,83.0,79.6,China2010,Nicaragua2012,0.5512828755799036,0.41936593087490437,-0.006279225343955974
66,44.79,63.54,75.8,79.6,Sao Tome and Principe2010,Nicaragua2012,0.7497196164896565,0.41936593087490437,0.0012876903235815584
67,69.56,63.54,80.4,79.6,Guatemala2015,Nicaragua2012,0.4622513418192426,0.41936593087490437,0.002224984035822608
68,62.89,63.54,85.9,79.6,Syria2011,Nicaragua2012,0.6255854888734904,0.41936593087490437,0.0036050366444411175
69,77.86,63.54,83.1,79.6,Colombia2014,Nicaragua2012,0.5271737624448223,0.41936593087490437,0.004405230970264795
70,64.72,63.54,85.7,79.6,Iran2008,Nicaragua2012,0.5970095796889006,0.41936593087490437,0.004906330412068116
71,64.88,64.44,85.3,79.0,Uzbekistan2015,Nicaragua2015,0.6070736166516039,0.407983683200696,0.00018072885803788186
72,64.42,64.44,80.6,79.0,Indonesia2012,Nicaragua2015,0.47445367377823366,0.407983683200696,0.0018504105300687357
73,68.8,55.08,80.7,79.3,Guatemala2013,India2015,0.4734320477603884,0.445029031240107,-0.004969698826952751
74,48.32,55.08,75.8,79.3,Sao Tome and Principe2014,India2015,0.6836094637598144,0.445029031240107,-0.002087803217742934
75,63.1,55.08,81.8,79.3,Bhutan2013,India2015,0.5061220362066322,0.445029031240107,0.003127314490628197
76,41.26,62.6,76.8,80.0,Benin2010,Nicaragua2007,0.7797653326066697,0.4652986629065857,-0.007811528685181202
77,77.94,62.6,82.3,80.0,Belarus2009,Nicaragua2007,0.4825583013094334,0.4652986629065857,-0.007402313823227646
78,70.17,62.6,84.8,80.0,Equatorial Guinea2015,Nicaragua2007,0.529392630391287,0.4652986629065857,-0.0035282746241640517
79,66.32,62.6,86.9,80.0,Iran2016,Nicaragua2007,0.6471015070042083,0.4652986629065857,0.002429719882166448
80,34.65,63.33,76.7,79.2,Madagascar2008,Nicaragua2013,0.8070302116802649,0.4200203084006115,-0.0004233106268772824
81,64.82,63.33,87.2,79.2,Iran2014,Nicaragua2013,0.6353212468615044,0.4200203084006115,2.0549405938430354e-05
82,68.76,63.33,81.2,79.2,Guatemala2010,Nicaragua2013,0.48920431656078095,0.4200203084006115,0.0005100285968397955
83,60.87,63.33,83.5,79.2,Bosnia and Herzegovina2010,Nicaragua2013,0.515110941661985,0.4200203084006115,0.005516001691265648
84,53.58,68.46,79.6,80.0,India2016,Honduras2010,0.886042481889195,0.4476290106029124,-0.0042157910293015854
85,68.08,68.46,81.2,80.0,Ecuador2009,Honduras2010,0.48843136695075184,0.4476290106029124,-0.00019118549745456015
86,61.84,68.46,82.4,80.0,Bhutan2012,Honduras2010,0.5175162049420123,0.4476290106029124,0.00017360522938481004
87,75.32,68.46,81.2,80.0,Moldova2011,Honduras2010,0.4674582374130706,0.4476290106029124,0.0004931377775335699
88,77.14,68.46,83.8,80.0,Colombia2013,Honduras2010,0.5397237418409743,0.4476290106029124,0.0012208162174038861
89,34.61,64.32,76.5,79.3,Madagascar2007,Senegal2012,0.8031156429336407,0.4826858554155529,-0.002516751974770637
90,46.05,64.32,79.6,79.3,Comoros2008,Senegal2012,0.8209706968047871,0.4826858554155529,0.0010482255956387743
91,61.43,64.32,84.2,79.3,Georgia2013,Senegal2012,0.547471376568612,0.4826858554155529,0.015238758303011912
92,70.76,64.32,84.3,79.3,Turkmenistan2009,Senegal2012,0.5533406118068026,0.4826858554155529,0.01693266492780865
93,81.85,64.32,84.4,79.3,Azerbaijan2010,Senegal2012,0.5551332228098107,0.4826858554155529,0.018129432360618702
94,63.37,59.03,85.4,80.0,Bhutan2008,Swaziland2008,0.6288056116751402,0.506500139485211,-0.02152614814478848
95,38.35,59.03,75.6,80.0,Mali2008,Swaziland2008,0.7316054359613946,0.506500139485211,-0.02122835073847973
96,78.11,59.03,84.4,80.0,Belarus2008,Swaziland2008,0.543816113051875,0.506500139485211,-0.02005581455853722
97,70.58,59.03,82.9,80.0,Bolivia2011,Swaziland2008,0.49943630481750856,0.506500139485211,-0.014388667037860015
98,69.64,59.03,83.2,80.0,Guatemala2016,Swaziland2008,0.5308078810242542,0.506500139485211,-0.010318026800334223
99,40.7,59.03,77.9,80.0,Benin2013,Swaziland2008,0.7985907845302533,0.506500139485211,-0.0065338469007255595
100,61.01,59.03,83.8,80.0,Georgia2008,Swaziland2008,0.510626291397757,0.506500139485211,-0.005463785932886878
101,71.15,59.03,86.2,80.0,Turkmenistan2008,Swaziland2008,0.6086595418069873,0.506500139485211,-0.0034212279103673637
102,62.37,59.03,83.3,80.0,Indonesia2008,Swaziland2008,0.5429310051202548,0.506500139485211,-0.003131626993360226
103,65.55,59.03,87.7,80.0,Sri Lanka2016,Swaziland2008,0.6576193316487028,0.506500139485211,-0.001683936223237481
104,43.83,59.03,78.8,80.0,Benin2015,Swaziland2008,0.7826645331828077,0.506500139485211,-0.0011686839239790636
105,38.32,59.03,75.5,80.0,Mali2007,Swaziland2008,0.7335412500212111,0.506500139485211,-0.00020894265646709265
106,51.12,59.03,78.5,80.0,Cape Verde2009,Swaziland2008,0.7346081100262329,0.506500139485211,0.002380036330999702
107,40.82,59.03,80.3,80.0,Djibouti2007,Swaziland2008,0.878732133257438,0.506500139485211,0.0031452877497840648
108,61.58,59.03,85.0,80.0,Bhutan2011,Swaziland2008,0.5891034483273602,0.506500139485211,0.004503536797941243
109,41.53,59.03,78.6,80.0,Benin2012,Swaziland2008,0.807342625566263,0.506500139485211,0.004912922448863655
110,48.98,59.03,83.8,80.0,Angola2008,Swaziland2008,1.0086901957783276,0.506500139485211,0.005640375651583707
111,66.0,59.03,87.5,80.0,Uzbekistan2012,Swaziland2008,0.6369365401261308,0.506500139485211,0.005681467227818482
112,63.42,59.03,86.4,80.0,Bhutan2007,Swaziland2008,0.6533605447291276,0.506500139485211,0.011521784974728222
113,43.72,59.03,78.2,80.0,Benin2014,Swaziland2008,0.7894042118776999,0.506500139485211,0.012488735787353877
114,63.86,59.03,83.1,80.0,Indonesia2010,Swaziland2008,0.5376563087687163,0.506500139485211,0.014056737995287172
115,69.38,59.03,86.1,80.0,Equatorial Guinea2013,Swaziland2008,0.5577568320326223,0.506500139485211,0.014790184697254571
116,40.45,59.03,80.6,80.0,Djibouti2009,Swaziland2008,0.8856063842662206,0.506500139485211,0.0173562116724848
117,56.41,59.03,84.3,80.0,Bosnia and Herzegovina2008,Swaziland2008,0.5328252081494547,0.506500139485211,0.017538644040833717
118,63.85,59.03,89.7,80.0,Iran2013,Swaziland2008,0.6834704937418707,0.506500139485211,0.01863245197245822
119,63.39,59.03,82.5,80.0,Nicaragua2010,Swaziland2008,0.5347351013449746,0.506500139485211,0.018863446430899433
120,39.07,59.03,82.6,80.0,Djibouti2011,Swaziland2008,0.9449868022582966,0.506500139485211,0.021188224968551772
121,72.24,59.03,85.7,80.0,Kyrgyz Republic2013,Swaziland2008,0.5865991717004178,0.506500139485211,0.021263257588687745
122,54.19,59.03,81.1,80.0,Maldives2007,Swaziland2008,0.8821095668026181,0.506500139485211,0.0230435216674314
